portfolio,year,portfolio_value,annual_return,withdrawal,sp500_value,bonds_value,sp500_allocation,bonds_allocation,notes_value,notes_allocation
structured,2005,986968.8361961574,-0.013031163803842616,41123.701508173224,395523.92700720957,294994.1657506051,0.400746115279166,0.2988890377608395,296450.74343834276,0.30036484695999455
structured,2006,1049746.5494766424,0.06360658105724437,43739.439561526764,430613.1391180029,296492.0653990999,0.4102067678457126,0.2824415717745563,322641.3449595395,0.307351660379731
structured,2007,1049868.4494711806,0.00011612326289522912,43744.51872796586,417330.4784455246,320764.70517383266,0.39750740071837976,0.3055284739106143,311773.2658518234,0.296964125371006
structured,2008,802460.2027082503,-0.23565642618134686,33435.841779510425,247994.20822884561,323116.0212906153,0.30904237667099443,0.40265675506413906,231349.9731887892,0.28830086826486634
structured,2009,905113.4221330972,0.12792312824785457,37713.05925554572,380417.56694191427,239513.0911502436,0.4202982274258814,0.26462218468242216,285182.76404093945,0.31507958789169654
structured,2010,957747.2402841286,0.05815162703806598,39906.13501183869,391991.6086795574,276830.8967809601,0.40928503073866107,0.2890437947895673,288924.7348236113,0.3016711744717718
structured,2011,941298.1488199105,-0.017174773021886525,39220.75620082961,367763.2315419276,297703.71207615396,0.3906979228664012,0.31626930579793455,275831.205201829,0.2930327713356644
structured,2012,991339.4270907629,0.05316198521540527,41305.809462115125,409914.4970299059,279066.59177058865,0.41349560587221135,0.2815045827336377,302358.33829026844,0.30499981139415105
structured,2013,1134963.2931742154,0.1448785977421867,47290.1372155923,493358.7014487028,279488.8136686746,0.43469132827097773,0.2462536148521708,362115.778056838,0.31905505687685154
structured,2014,1190151.4677886511,0.04862551498039025,49589.6444911938,485469.2373172633,345886.22263805126,0.4079054225083506,0.29062369958734885,358796.0078333365,0.3014708779043005
structured,2015,1141140.6156760508,-0.041180348417050205,47547.525653168785,453697.4709308898,344679.5220220295,0.39758244049713704,0.3020482465413165,342763.62272313156,0.3003693129615465
structured,2016,1171986.8584996467,0.02703106207934014,48832.78577081861,479980.2747057955,336935.52998341416,0.4095440757076887,0.2874908771713977,355071.05381043704,0.30296504712091366
structured,2017,1287926.2575060388,0.09892551112289372,53663.59406275162,537441.1401053736,351031.70138952194,0.4172918573351267,0.272555745597784,399453.4160111432,0.31015239706708925
structured,2018,1205992.0025282449,-0.06361719430773372,50249.666772010205,463716.4608590947,371352.77950741106,0.3845103946684209,0.3079230863296822,370922.76216173917,0.30756651900189697
structured,2019,1401256.8560094885,0.1619122291622912,58385.70233372869,596835.5404524081,378007.99678719,0.4259287209855883,0.2697635306232752,426413.3187698906,0.3043077483911366
structured,2020,1510762.977897613,0.07814850033988563,62948.457412400545,625569.0739356973,434697.06178451056,0.4140749297459242,0.2877334619289107,450496.84217740514,0.2981916083251651
structured,2021,1671825.6881844513,0.10661017819683005,69659.40367435214,736146.6306571653,427002.08146751917,0.440324990733093,0.2554106474648261,508676.97605976684,0.30426436180208094
structured,2022,1395608.5500668662,-0.16521886227119043,58150.35625278609,517161.7952594712,418352.5386332232,0.3705636478328347,0.2997635251039263,460094.21617417166,0.32967282706323897
structured,2023,1577804.7628950058,0.13054965363991933,65741.86512062524,665768.2525142819,424662.18149363203,0.42195857698686967,0.2691474835672625,487374.3288870917,0.3088939394458678
traditional,2005,986611.4448449546,-0.013388555155045334,41108.81020187311,593285.8905108144,393325.55433414015,0.6013369230721308,0.398663076927869,,
traditional,2006,1040865.4181648064,0.05499021281714178,43369.3924235336,645685.814648149,395179.6035166575,0.6203355432699309,0.37966445673006916,,
traditional,2007,1044767.5650514524,0.003748944694047074,43531.98187714385,620699.629605858,424067.93544559437,0.5941030812679278,0.40589691873207223,,
traditional,2008,798912.1333219067,-0.23532069711356118,33288.00555507944,370183.9576310072,428728.1756908995,0.4633600394723865,0.5366399605276135,,
traditional,2009,886042.1140108517,0.10906078034721456,36918.42141711882,568103.3319776793,317938.78203317255,0.6411696724053474,0.3588303275946527,,
traditional,2010,936928.676984254,0.0574313141201086,39038.69487434392,575598.1490315519,361330.5279527022,0.6143457481569062,0.3856542518430938,,
traditional,2011,927963.767155104,-0.009568401575673735,38665.156964796,539653.7366212793,388310.03053382476,0.5815461289784164,0.41845387102158366,,
traditional,2012,972979.3018751167,0.04851001333599325,40540.80424479653,606161.5036939852,366817.7981811315,0.6229952708405989,0.3770047291594011,,
traditional,2013,1092082.2060060238,0.12241052189021207,45503.425250251,726332.1599922964,365750.04601372755,0.6650892725820038,0.3349107274179963,,
traditional,2014,1144448.224298422,0.04795061947205581,47685.34267910091,700690.9194676282,443757.3048307936,0.6122521793392365,0.38774782066076335,,
traditional,2015,1096336.9694401587,-0.04203882171057305,45680.707060006614,654412.4160183129,441924.5534218459,0.5969080987504113,0.40309190124958877,,
traditional,2016,1123311.7687854513,0.024604478456169643,46804.65703272713,691702.8180399869,431608.9507454643,0.6157710061097915,0.38422899389020837,,
traditional,2017,1221283.5960583657,0.08721695080150682,50886.8165024319,772680.1115535102,448603.48450485547,0.6326786948152733,0.3673213051847267,,
traditional,2018,1129099.3531499887,-0.07548143871406876,47045.80638124953,659582.7636507342,469516.5894992544,0.5841671610302621,0.41583283896973783,,
traditional,2019,1310048.52731837,0.16025974478115224,54585.35530493208,838172.9993843244,471875.52793404553,0.6398030163814156,0.3601969836185844,,
traditional,2020,1419145.784515013,0.08327726410254566,59131.07435479221,877275.826195666,541869.958319347,0.6181717451216411,0.3818282548783589,,
traditional,2021,1572066.6013097458,0.10775553749539046,65502.77505457275,1037256.7401034575,534809.8612062883,0.6598045777699757,0.34019542223002436,,
