Date,^VIX
1990-12-31,0.23063478296453305
1991-12-31,0.1838466404549218
1992-12-31,0.15452047227874516
1993-12-31,0.12686245039988883
1994-12-31,0.13925515859846085
1995-12-31,0.12388769838545058
1996-12-31,0.1644216532970038
1997-12-31,0.2237857710796854
1998-12-31,0.256029761707972
1999-12-31,0.24372976204705618
2000-12-31,0.2331500001937624
2001-12-31,0.2574967748118985
2002-12-31,0.27292460312919015
2003-12-31,0.21982857121361626
2004-12-31,0.15480357132260764
2005-12-31,0.12807063496302043
2006-12-31,0.12806533843872556
2007-12-31,0.17535936215009348
2008-12-31,0.32692608671226053
2009-12-31,0.3147857146036057
2010-12-31,0.225488888574025
2011-12-31,0.2420257932799203
2012-12-31,0.17798879981994628
2013-12-31,0.14230119050495207
2014-12-31,0.14174246072769164
2015-12-31,0.16674127011072068
2016-12-31,0.158256349109468
2017-12-31,0.110902390499039
2018-12-31,0.16639840619972504
2019-12-31,0.15387857088966977
2020-12-31,0.2925130438521917
2021-12-31,0.19656388876930114
2022-12-31,0.256239044675789
2023-12-31,0.16870040000915526
2024-12-31,0.15607579352363707
